FXML file,v3.0.6 impact areas,Matched style classes,Generic node types affected
src/main/resources/fxml/pages/BackupRestore.fxml,"Page/root spacing; Buttons/controls; Tables; Global controls: Buttons, Combo boxes, Tables","approved-button, approved-input, approved-screen, approved-table, primary-button","Buttons, Combo boxes, Tables"
src/main/resources/fxml/pages/CommunicationCenter.fxml,"Page/root spacing; Buttons/controls; KPI cards; Global controls: Buttons, Text fields, Combo boxes, Tables","approved-button, approved-input, approved-screen, metric-value, secondary-button","Buttons, Text fields, Combo boxes, Tables"
src/main/resources/fxml/pages/Customer.fxml,"Page/root spacing; Buttons/controls; Toolbars/filters; Global controls: Buttons, Text fields, Tables","approved-button, approved-filter-bar, approved-screen, danger-button, secondary-button","Buttons, Text fields, Tables"
src/main/resources/fxml/pages/Dashboard.fxml,"Page/root spacing; Buttons/controls; Footers; Global controls: Buttons, Menu buttons, Text fields","approved-button, approved-screen, erp-company-footer, erp-company-footer-text","Buttons, Menu buttons, Text fields"
src/main/resources/fxml/pages/DashboardHome.fxml,"Page/root spacing; Headers; Cards; Buttons/controls; KPI cards; Tables; Global controls: Buttons, Tables","approved-button, approved-card, approved-page-header, approved-screen, approved-table, dashboard-executive, dashboard-mini-kpi, dashboard-mini-kpi-icon, dashboard-mini-kpi-row, metric-value, sales-metric-card, sales-metric-icon","Buttons, Tables"
src/main/resources/fxml/pages/EmailSettings.fxml,"Page/root spacing; Global controls: Buttons, Text fields, Password fields",approved-screen,"Buttons, Text fields, Password fields"
src/main/resources/fxml/pages/Import.fxml,"Page/root spacing; Buttons/controls; Tables; Global controls: Buttons, Text fields, Combo boxes, Tables","approved-button, approved-input, approved-screen, approved-table","Buttons, Text fields, Combo boxes, Tables"
src/main/resources/fxml/pages/Inventory.fxml,"Page/root spacing; Buttons/controls; KPI cards; Toolbars/filters; Global controls: Buttons, Text fields, Combo boxes, Tables","approved-button, approved-filter-bar, approved-input, approved-screen, metric-value, primary-button, secondary-button","Buttons, Text fields, Combo boxes, Tables"
src/main/resources/fxml/pages/ItemMaster.fxml,"Page/root spacing; Buttons/controls; KPI cards; Toolbars/filters; Global controls: Buttons, Text fields, Tables","approved-button, approved-filter-bar, approved-screen, danger-button, metric-value, secondary-button","Buttons, Text fields, Tables"
src/main/resources/fxml/pages/Itemdialog.fxml,"Page/root spacing; Buttons/controls; Global controls: Buttons, Text fields, Combo boxes","approved-input, approved-screen, primary-button, secondary-button","Buttons, Text fields, Combo boxes"
src/main/resources/fxml/pages/Login.fxml,"Page/root spacing; Global controls: Buttons, Text fields, Password fields",approved-screen,"Buttons, Text fields, Password fields"
src/main/resources/fxml/pages/Masterdata.fxml,"Page/root spacing; Headers; Cards; Buttons/controls; KPI cards; Tables; Global controls: Buttons, Text fields, Tables","approved-button, approved-input, approved-screen, approved-table, kpi-card, kpi-value, page-header, table-card","Buttons, Text fields, Tables"
src/main/resources/fxml/pages/Operations.fxml,"Page/root spacing; Buttons/controls; KPI cards; Global controls: Buttons, Tables","approved-button, approved-screen, metric-card, metric-value","Buttons, Tables"
src/main/resources/fxml/pages/PartyDialog.fxml,"Page/root spacing; Buttons/controls; Global controls: Buttons, Text fields","approved-input, approved-screen, primary-button, secondary-button","Buttons, Text fields"
