Screen,Buttons,Tables
BackupRestore.fxml,7,1
CommunicationCenter.fxml,2,1
Customer.fxml,6,1
Dashboard.fxml,31,0
DashboardHome.fxml,11,1
EmailSettings.fxml,2,0
Import.fxml,12,1
Inventory.fxml,5,1
ItemMaster.fxml,6,1
Itemdialog.fxml,2,0
Login.fxml,4,0
Masterdata.fxml,13,1
Operations.fxml,4,4
PartyDialog.fxml,2,0
PaymentHistory.fxml,5,1
Purchase.fxml,9,1
PurchaseList.fxml,20,1
PurchaseReturnDetails.fxml,5,1
PurchaseReturns.fxml,5,1
Quotations.fxml,23,1
RecordPayment.fxml,8,1
Registration.fxml,3,0
ReminderCenter.fxml,7,1
Reports.fxml,6,2
Sale.fxml,11,1
SalesInvoiceDetails.fxml,6,1
SalesList.fxml,25,1
SalesReturns.fxml,5,1
Settings.fxml,14,0
SetupWizard.fxml,3,0
Suppliers.fxml,6,1
UserAccess.fxml,13,3
UserDialog.fxml,3,0
lookupDialog.fxml,2,0
TOTAL,286,30
